Position,Player,Country,Matches,Innings,Notouts,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes
1,Laura Wolvaardt,South Africa,9,9,1,571,169,71.37,578,98.78,2,3,0,73,7
2,Smriti Mandhana,India,9,9,1,434,109,54.25,438,99.08,1,2,0,50,9
3,Ashleigh Gardner,Australia,7,5,1,328,115,82,252,130.15,2,1,0,39,6
4,Pratika Rawal,India,7,6,0,308,122,51.33,396,77.77,1,1,0,37,4
5,Phoebe Litchfield,Australia,7,7,1,304,119,50.66,271,112.17,1,1,0,43,7
6,Alyssa Healy,Australia,5,5,1,299,142,74.75,239,125.1,2,0,0,47,3
7,Jemimah Rodrigues,India,8,7,2,292,127,58.4,289,101.03,1,1,2,36,0
8,Sophie Devine,New Zealand,7,5,0,289,112,57.8,339,85.25,1,2,0,25,5
9,Heather Knight,England,8,7,1,288,109,48,336,85.71,1,1,1,34,3
10,Nat Sciver-Brunt,England,8,6,0,262,117,43.66,307,85.34,1,1,0,26,3
11,Harmanpreet Kaur,India,9,8,0,260,89,32.5,292,89.04,0,2,0,30,2
12,Richa Ghosh,India,8,8,2,235,94,39.16,176,133.52,0,1,0,23,12
13,Tazmin Brits,South Africa,9,9,1,235,101,29.37,265,88.67,1,1,3,29,5
14,Brooke Halliday,New Zealand,7,5,0,227,81,45.4,277,81.94,0,2,0,22,3
15,Amy Jones,England,8,8,2,220,86,36.66,262,83.96,0,2,1,31,1
