Position,Player,Country,Matches,Innings,Wickets,Economy,BBI,Balls,Overs,Maidens,Runs,4WH,5WH
1,Deepti Sharma,India,9,9,22,5.52,5--39,488,81.2,3,449,1,1
2,Annabel Sutherland,Australia,7,7,17,4.45,5--40,362,60.2,4,269,0,1
3,Sophie Ecclestone,England,7,7,16,4.05,4--17,337,56.1,9,228,2,0
4,Shree Charani,India,9,9,14,4.96,3--41,468,78,3,387,0,0
5,Alana King,Australia,7,7,13,4.03,7--18,336,56,8,226,0,1
6,Nonkululeko Mlaba,South Africa,9,9,13,4.83,4--40,366,61,2,295,1,0
7,Marizanne Kapp,South Africa,9,9,12,4.18,5--20,348,58,8,243,0,1
8,Linsey Smith,England,8,8,12,4.13,3--7,370,61.4,4,255,0,0
9,Lea Tahuhu,New Zealand,6,6,10,4.61,3--22,204,34,2,157,0,0
10,Fatima Sana,Pakistan,7,5,10,5.07,4--27,252,42,5,213,1,0
11,Nadine de Klerk,South Africa,9,7,9,5.3,2--24,266,44.2,0,235,0,0
12,Nat Sciver-Brunt,England,8,8,9,5.86,2--5,270,45,1,264,0,0
13,Kranti Gaud,India,8,8,9,5.73,3--20,378,63,4,361,0,0
14,Sadia Iqbal,Pakistan,7,5,8,4.47,3--63,240,40,4,179,0,0
15,Sophie Molineux,Australia,4,4,8,5.62,3--25,209,34.5,2,196,0,0
