match_id,date,team1,team2,match_type,venue_stadium,venue_city,venue_country,toss_winner,toss_decision,result,winning_team,1st_score,1st_wkts,2nd_score,2nd_wkts,DLS_involved,wb_runs,wb_wickets,POTM,top_scorer,highscore,best_bowling,best_bowling_figure
1,30-09-2025,India,Sri Lanka,League Stage,Barsapara Cricket Stadium,Guwahati,India,Sri Lanka,bowl,Completed,India,269,8,211,10,Yes,59,,Deepti Sharma,Amanjot Kaur,57,Inoka Ranaweera,4--46
2,01-10-2025,Australia,New Zealand,League Stage,Holkar Stadium,Indore,India,Australia,bat,Completed,Australia,326,10,237,10,No,89,,Ashleigh Gardner,Ashleigh Gardner,115,Annabel Sutherland,3--26
3,02-10-2025,Pakistan,Bangladesh,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Pakistan,bat,Completed,Bangladesh,129,10,131,3,No,,7,Marufa Akter,Rubya Haider,54,Shoma Akter,3--5
4,03-10-2025,South Africa,England,League Stage,Barsapara Cricket Stadium,Guwahati,India,England,bowl,Completed,England,69,10,73,0,No,,10,Linsey Smith,Amy Jones,40,Linsey Smith,3--7
5,04-10-2025,Australia,Sri Lanka,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,,,Abandoned,,,,,,,,,,,,,
6,05-10-2025,India,Pakistan,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Pakistan,bowl,Completed,India,247,10,159,10,No,88,,Kranti Goud,Sidra Ameen,81,Diana Baig,4--69
7,06-10-2025,New Zealand,South Africa,League Stage,Holkar Stadium,Indore,India,New Zealand,bat,Completed,South Africa,231,10,234,4,No,,6,Tazmin Brits,Tazmin Britz,101,Nonkululeko Mlaba,4--40
8,07-10-2025,Bangladesh,England,League Stage,Barsapara Cricket Stadium,Guwahati,India,England,bowl,Completed,England,178,10,182,6,No,,4,Heather Knight,Heather Knight,79,Fahima Khatun,3--16
9,08-10-2025,Australia,Pakistan,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Pakistan,bowl,Completed,Australia,221,9,114,10,No,107,,Beth Mooney,Beth Mooney,109,Kim Garth,3--14
10,09-10-2025,India,South Africa,League Stage,ACA-VDCA Cricket Stadium,Vishakhapatnam,India,South Africa,bowl,Completed,South Africa,251,10,252,7,No,,3,Nadine de Klerk,Richa Ghosh,94,Chloe Tryon,3--32
11,10-10-2025,New Zealand,Bangladesh,League Stage,Barsapara Cricket Stadium,Guwahati,India,New Zealand,bat,Completed,New Zealand,227,9,127,10,No,100,,Brooke Halliday,Brooke Halliday,69,Jess Kerr,3--21
12,11-10-2025,England,Sri Lanka,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,bowl,Completed,England,253,9,164,10,No,89,,Nat Sciver-Brunt,Nat Sciver-Brunt,117,Sophie Ecclestone,4--17
13,12-10-2025,India,Australia,League Stage,ACA-VDCA Cricket Stadium,Vishakhapatnam,India,Australia,bowl,Completed,Australia,330,10,331,7,No,,3,Alyssa Haely,Alyssa Haely,142,Annabel Sutherland,5--40
14,13-10-2025,Bangladesh,South Africa,League Stage,ACA-VDCA Cricket Stadium,Vishakhapatnam,India,Bangladesh,bat,Completed,South Africa,232,6,235,7,No,,3,Chloe Tryon,Chloe Tryon,62,Nonkululeko Mlaba,2--42
15,14-10-2025,Sri Lanka,New Zealand,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,bat,No result,,,,,,,,,,,,,
16,15-10-2025,England,Pakistan,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Pakistan,bowl,No result,,,,,,Yes,,,,,,,
17,16-10-2025,Bangladesh,Australia,League Stage,ACA-VDCA Cricket Stadium,Vishakhapatnam,India,Bangladesh,bat,Completed,Australia,198,9,202,0,No,,10,Alana King,Alyssa Haely,113,Alana King,2--18
18,17-10-2025,Sri Lanka,South Africa,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,bat,Completed,South Africa,105,7,125,0,Yes,,10,Laura Wolvaardt,Laura Wolvaardt,60,Nonkululeko Mlaba,3--30
19,18-10-2025,Pakistan,New Zealand,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,New Zealand,bowl,No result,,,,,,,,,,,,,
20,19-10-2025,England,India,League Stage,Holkar Stadium,Indore,India,England,bat,Completed,England,288,8,284,6,No,4,,Heather Knight,Heather Knight,109,Deepti Sharma,4--51
21,20-10-2025,Sri Lanka,Bangladesh,League Stage,Dr. DY Patil Sports Academy,Mumbai,India,Sri Lanka,bat,Completed,Sri Lanka,202,10,195,9,No,7,,Hasini Perera,Hasini Perera,85,Chamari Athapaththu,4--42
22,21-10-2025,South Africa,Pakistan,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Pakistan,bowl,Completed,South Africa,312,9,83,7,Yes,150,,Marizanne Kapp,Laura Wolvaardt,90,Marizanne Kapp,3--20
23,22-10-2025,England,Australia,League Stage,Holkar Stadium,Indore,India,Australia,bowl,Completed,Australia,244,9,248,4,No,,6,Annabel Sutherland,Ashleigh Gardner,104,Annabel Sutherland,3--60
24,23-10-2025,India,New Zealand,League Stage,Dr. DY Patil Sports Academy,Mumbai,India,New Zealand,bowl,Completed,India,340,3,271,8,Yes,53,,Smriti Mandhana,Pratika Rawal,122,Renuka Singh,2--25
25,24-10-2025,Pakistan,Sri Lanka,League Stage,R. Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,bowl,No result,,,,,,,,,,,,,
26,25-10-2025,South Africa,Australia,League Stage,Holkar Stadium,Indore,India,Australia,bowl,Completed,Australia,97,10,98,3,No,,7,Alana King,Beth Mooney,42,Alana King,7--18
27,26-10-2025,New Zealand,England,League Stage,ACA-VDCA Cricket Stadium,Vishakhapatnam,India,New Zealand,bat,Completed,England,168,10,172,2,No,,8,Amy Jones,Amy Jones,86,Linsey Smith,3--30
28,26-10-2025,Bangladesh,India,League Stage,Dr. DY Patil Sports Academy,Mumbai,India,India,bowl,No result,,,,,,Yes,,,,,,,
29,29-10-2025,South Africa,England,Semi-Final,Barsapara Cricket Stadium,Guwahati,India,England,bowl,Completed,South Africa,319,7,194,10,No,125,,Laura Wolvaardt,Laura Wolvaardt,169,Marizanne Kapp,5--20
30,30-10-2025,Australia,India,Semi-Final,Dr. DY Patil Sports Academy,Mumbai,India,Australia,bat,Completed,India,338,10,341,5,No,,5,Jemimah Rodrigues,Jemimah Rodrigues,127,Shree Charani,2--49
31,02-11-2025,South Africa,India,Final,Dr. DY Patil Sports Academy,Mumbai,India,South Africa,bowl,Completed,India,298,7,246,10,No,52,,Shafali Verma,Laura Wolvaardt,101,Deepti Sharma,5--39
